Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
473,0.0646,0.9748,0.2120,0.9308
474,0.0785,0.9708,0.1993,0.9289
475,0.0614,0.9812,0.2307,0.9229
476,0.0664,0.9773,0.2287,0.9308
477,0.0875,0.9693,0.2218,0.9308
478,0.0828,0.9733,0.2597,0.9111
479,0.0861,0.9723,0.1947,0.9289
480,0.0745,0.9743,0.2454,0.9170
481,0.0760,0.9733,0.2120,0.9368
482,0.0711,0.9728,0.2406,0.9229
483,0.0693,0.9753,0.2112,0.9368
484,0.0710,0.9787,0.2185,0.9328
485,0.0625,0.9768,0.2077,0.9348
486,0.0717,0.9773,0.2047,0.9348
487,0.0722,0.9743,0.2136,0.9328
488,0.0560,0.9787,0.2355,0.9229
489,0.0618,0.9797,0.2043,0.9348
490,0.0580,0.9768,0.2316,0.9229
491,0.0812,0.9728,0.2665,0.9130
492,0.0774,0.9743,0.2566,0.9130
493,0.0965,0.9693,0.2206,0.9170
494,0.0608,0.9768,0.2176,0.9209
495,0.0956,0.9679,0.1745,0.9368
496,0.0621,0.9777,0.1984,0.9308
497,0.0692,0.9763,0.2282,0.9190
498,0.0644,0.9763,0.2240,0.9209
499,0.0731,0.9743,0.2764,0.9111
500,0.0748,0.9753,0.2182,0.9249
